ETC_20150317_000001	Kepa	케파
ETC_20170901_028517	Kivotos Event	
ETC_20170912_028518	Neop was recently promoted as a Demon Lord by Giltine in order to disturb Laima's plans. Because of the promotion, he tries hard to learn more.	
ETC_20170912_028519	Happy Days Popup Book	
ETC_20170912_028520	Obsidian Golem	
ETC_20170912_028521	Saalus Convent Castle Mission	
ETC_20170912_028522	Just Married	
ETC_20170912_028523	A title given to special wedding guests.	
ETC_20170912_028524	A title given to participants of the Golden Stone Whale event.	
ETC_20170912_028525	TOSmen	
ETC_20170912_028526	A title given to participants of the TOSmen event.	
ETC_20170912_028527	N/A	
ETC_20170912_028528	N/A	
ETC_20170912_028529	N/A	
ETC_20170912_028530	Reader	
ETC_20170912_028531	Recovered the damaged books 5 times.	
ETC_20170912_028532	Librarian	
ETC_20170912_028533	Recovered the damaged books 10 times.	
ETC_20170912_028534	Book Collector	
ETC_20170912_028535	Recovered the damaged books 30 times.	
ETC_20170912_028536	Bibliologist	
ETC_20170912_028537	Recovered the damaged books 50 times.	
ETC_20170912_028538	Chief Archiver	
ETC_20170912_028539	Recovered the damaged books 100 times.	
ETC_20170912_028540	Master Librarian	
ETC_20170912_028541	Recovered the damaged books 250 times.	
ETC_20170912_028542	Vaivora's Hero	
ETC_20170912_028543	Recovered the damaged books 500 times.	
ETC_20170912_028544	Refuge Visitor	
ETC_20170912_028545	Found all the hidden things in the Refuge.	
ETC_20170912_028546	100 Times Winner of TBL 2v2 	
ETC_20170912_028547	A title given to players who achieved 100 wins in Team Battle League 2v2 matches.	
ETC_20170912_028548	300 Times Winner of TBL 2v2 	
ETC_20170912_028549	A title given to players who achieved 300 wins in Team Battle League 2v2 matches.	
ETC_20170912_028550	5100 Times Winner of TBL 2v2 	
ETC_20170912_028551	A title given to players who achieved 500 wins in Team Battle League 2v2 matches.	
ETC_20170912_028552	1,000 Times Winner of TBL 2v2 	
ETC_20170912_028553	A title given to players who achieved 1,000 wins in Team Battle League 2v2 matches.	
ETC_20170912_028554	100 Times Winner of TBL 5v5	
ETC_20170912_028555	A title given to players who achieved 100 wins in Team Battle League 5v5 matches.	
ETC_20170912_028556	300 Times Winner of TBL 5v5 	
ETC_20170912_028557	A title given to players who achieved 300 wins in Team Battle League 5v5 matches.	
ETC_20170912_028558	500 Times Winner of TBL 5v5	
ETC_20170912_028559	A title given to players who achieved 500 wins in Team Battle League 5v5 matches.	
ETC_20170912_028560	1,000 Times Winner of TBL 5v5	
ETC_20170912_028561	A title given to players who achieved 1,000 wins in Team Battle League 5v5 matches.	
ETC_20170912_028562	Adventure Journal ranking 1st place	
ETC_20170912_028563	Steady Savior	
ETC_20170912_028564	Reached 5,600 Growth points in Journal.	
ETC_20170912_028565	Sturdy Savior	
ETC_20170912_028566	Reached 11,300 Growth points in Journal.	
ETC_20170912_028567	Journal Recordist	
ETC_20170912_028568	Reached 17,960 Growth points in Journal.	
ETC_20170912_028569	Outstanding Recordist	
ETC_20170912_028570	Reached 28,960 Growth points in Journal.	
ETC_20170912_028571	1st place in Journal item consumption rank.	
ETC_20170912_028572	Book Exchange	
ETC_20170912_028573	Refuge Gimmick	
ETC_20170912_028574	Fishing	
ETC_20170912_028575	(Resetting) Adventure Index	
ETC_20170912_028576	Growth: Team Level	
ETC_20170912_028577	Growth: Classes	
ETC_20170912_028578	Map Exploration	
ETC_20170912_028579	Item Consumption	
ETC_20170912_028580	Quests/Achievements	
ETC_20170912_028581	Regular Monster Sections	
ETC_20170912_028582	Regular Monster Hunt 1st Section Max. Kill Count	
ETC_20170912_028583	Regular Monster Hunt 2nd Section Max. Kill Count	
ETC_20170912_028584	Regular Monster Hunt 3rd Section Max. Kill Count	
ETC_20170912_028585	Boss Monster Sections	
ETC_20170912_028586	Boss Monster Hunt 1st Section Max. Kill Count	
ETC_20170912_028587	Boss Monster Hunt 2nd Section Max. Kill Count	
ETC_20170912_028588	Boss Monster Hunt 3rd Section Max. Kill Count	
ETC_20170912_028589	Max. Monster Points	
ETC_20170912_028590	Regular Item Sections	
ETC_20170912_028591	Regular Item Acquisition 1st Section Max. Count	
ETC_20170912_028592	Regular Item Acquisition 2nd Section Max. Count	
ETC_20170912_028593	Regular Item Acquisition 3rd Section Max. Count	
ETC_20170912_028594	Equipment Item Sections	
ETC_20170912_028595	Equipment Item Acquisition 1st Section Max. Count	
ETC_20170912_028596	Max. Item Acquisition Points	
ETC_20170912_028597	Item Crafting 1st Section Max. Count	
ETC_20170912_028598	Max. Item Crafting Points	
ETC_20170912_028599	Max. Life Points	
ETC_20170912_028600	Max. Mission/Instanced Dungeon Points	
ETC_20170912_028601	N/A	
ETC_20170912_028602	N/A	
ETC_20170912_028603	N/A	
ETC_20170912_028604	Points to Add Per Quest	
ETC_20170912_028605	Points to Add Per Achievement	
ETC_20170912_028606	Power of Encouragement	
ETC_20170912_028607	Movement speed increased by the encouragement of those you helped!	
ETC_20170912_028608	Detecting	
ETC_20170912_028609	Detects cloaked enemies within a set range.	
ETC_20170912_028610	Max. Guild Members +3	
ETC_20170912_028611	Max. Companions +3	
ETC_20170912_028612	Max. Crops +3	
ETC_20170912_028613	Access this information by clicking the {img help_button_normal 25 25}{nl}button in the system menu.	
ETC_20170912_028614	The Monster window shows a monster's level, name, type, grade, HP and other info.	
ETC_20170912_028615	{nl} {nl}Monsters are divided into grades like Regular, Special, Elite, Boss, etc. according to how they behave. A monster's grade is shown in its HP bar.	
ETC_20170912_028616	{nl} {nl}You can also check the type of each monster through the image on its HP bar.{nl} {nl}{img monster_insect 40 40} : Insect    {img monster_wild 40 40} : Beast   {img monster_devil 40 40} : Demon{nl}{img monster_plant 40 40} : Plant    {img monster_variation 40 40} : Mutant	
ETC_20170912_028617	{nl}TP Shop Token effects{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30%{img white_right_arrow 16 16}10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - Additional +1 reward from Saalus Missions	
ETC_20170912_028618	Anyone can create and manage a guild.	
ETC_20170912_028619	Visit Knight Commander Uska?in Klaipeda with a character of level 40 or above to create a guild for a fee.	
ETC_20170912_028620	Creating a guild with a Templar character, however, lets you access exclusive guild content.	
ETC_20170912_028621	The Guild Master can setup a Guild Tower in channel 1 of any regular field.	
ETC_20170912_028622	To create a Guild Tower, you need a  	
ETC_20170912_028623	 , which you can purchase from Knight Commander Uska in Klaipeda.	
ETC_20170912_028624	{nl} {nl}You can check your guild's items and funds at the Storage tab of the Guild window.	
ETC_20170912_028625	Guild items can be obtained through guild events. You can {img mouseclick_left 40 40} the items to distribute them to your guild members.	
ETC_20170912_028626	{nl} {nl}Anyone can deposit guild funds, but not withdraw them.	
ETC_20170912_028627	Guild funds can be used to change your guild emblem and use other content.	
ETC_20170912_028628	Monster Cards are divided into 4 groups,{nl}with each card possessing different effects.	
ETC_20170912_028629	{nl} {nl}Open your inventory using the {img F2 40 40} key to check the Monster Card tab{nl}and press the {img TUTO_MONSTER_CARD_ICON_1 113 34} button to see the slots where you can equip your cards.	
ETC_20170912_028630	{img mouseclick_right 40 40} Right-click a card with the slots open or drag and drop it to equip. You can equip up to 3 identical cards per property.	
ETC_20170912_028631	{nl} {nl}Card effects increase along with the card level.{nl}You can combine cards to level them up.	
ETC_20170912_028632	Guild Emblem	
ETC_20170912_028633	Emblems allow you to add some personality to your guild.	
ETC_20170912_028634	To register an emblem, the guild master can go to the settings tab of the Guild window and upload an image.	
ETC_20170912_028635	{nl} {nl}Browse through your folder path to find the correct image file.	
ETC_20170912_028636	Only images sized 64x64 in PNG format are allowed.	
ETC_20170912_028637	{nl} {nl}Select the image and click the confirmation button to register the emblem.	
ETC_20170912_028638	{nl} {nl}The first emblem you register is free. Changing it will cost you Silver.	
ETC_20170912_028639	The Silver cost for emblem changes is subtracted from your guild funds.	
ETC_20170912_028640	{nl} {nl}Using inappropriate images can result in account restrictions, so keep that in mind.	
ETC_20170912_028641	Press the {img F10 40 40} key or type 	
ETC_20170912_028642	Speak to Sister Aiste in the Saalus Convent to play a mission (daily entries limited).{nl}You can reenter the mission until it is completed.	
ETC_20170912_028643	{nl} {nl}Clear the mission to receive a Saalus Cube and Cube of Blessing as rewards.{nl}Token users can receive an additional cube of each kind after the mission.	
ETC_20170912_028644	Guild Territory Wars	
ETC_20170912_028645	With Guild Territory Wars you can win amazing prizes.	
ETC_20170912_028646	Guild Territory Wars open every week{nl}and give you a chance at winning amazing prizes.	
ETC_20170912_028647	 {nl}[Important]{nl}- To participate in the Territory Wars, you need to set the option in the Guild window's Territory Wars tab to  	
ETC_20170912_028648	.{nl}- Only a Guild Master of the Templar class can opt in or out of Territory Wars.{nl}- After selecting  	
ETC_20170912_028649	, the option for transferring the role of guild master will not be available.{nl}- Guilds with a seized Spot will have their Territory Wars option automatically set to  	
ETC_20170912_028650	.	
ETC_20170912_028651	{nl} {nl}Guild Territory Wars take place every Sunday at 8 PM in maps with Spots.	
ETC_20170912_028652	Spot Areas	
ETC_20170912_028653	Maps with Spots you can seize during the Territory Wars.	
ETC_20170912_028654	{nl} {nl}When the Territory Wars begin, guilds with the option set to  	
ETC_20170912_028655	 can move to the map with the Spot.	
ETC_20170912_028656	The guild that seized the Spot during the last Territory Wars is allowed to enter the map 5 minutes before the battle begins.	
ETC_20170912_028657	{nl} {nl}Inside the Spot Area, guilds can battle each other through PvP.	
ETC_20170912_028658	If you become incapable of combat inside the Spot Area, you will be automatically transported to a nearby city.	
ETC_20170912_028659	{nl} {nl}During the Territory Wars, a Tower will appear inside each Spot. Whenever the  	
ETC_20170912_028660	invading	
ETC_20170912_028661	  guild enters the Spot, they earn points.	
ETC_20170912_028662	The number of members of the  	
ETC_20170912_028663	  guild inside Spot determines the amount of points increased per second. The goal of the guild is to increase their points to a certain amount in order to seize the Spot.	
ETC_20170912_028664	{nl} {nl}On the other hand, whenever the  	
ETC_20170912_028665	protecting	
ETC_20170912_028666	  guild is inside the Spot, the  	
ETC_20170912_028667	  guild loses points.	
ETC_20170912_028668	The number of members of the  	
ETC_20170912_028669	  guild inside the Spot determines the amount of points reduced every second for the  	
ETC_20170912_028670	  guild.	
ETC_20170912_028671	{nl} {nl}Whichever guild seizes the Spot receives a buff,{nl}which can increase its effects over time{nl}depending on how long the Spot is maintained under the guild.	
ETC_20170912_028672	This buff, however, cannot be obtained outside of the Spot Area.	
ETC_20170912_028673	{nl} {nl}Also, every once in a while a powerful monster will appear in the Spot Area.{nl}The last guild to attack the monster receives a temporary but very useful buff.	
ETC_20170912_028674	{nl} {nl}At the end of the Territory Wars, the guild that seizes the Spot receives the corresponding rewards.	
ETC_20170912_028675	All rewards are sent to the guild storage at once. You can check the rewards at the Territory Wars tab of the Guild window.	
ETC_20170912_028676	NXA Login Failed	
ETC_20170912_028677	NXA Login Data	
ETC_20170912_028678	NXA Billing Error	
ETC_20170912_028679	NXA Billing Data	
ETC_20170912_028680	Wrong XML Data	
ETC_20170912_028681	Failed to load via DLL.	
ETC_20170912_028682	N/A	
ETC_20170912_028683	Cooltime reduced by pass	
ETC_20170912_028684	Adventure Journal Info	
ETC_20170912_028685	Kivotos' Compass: Divine Energy Detector	
ETC_20170912_028686	Letas Stream Mission	
ETC_20170912_028687	Grants Token benefits to all your characters in the server for 30 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028688	Grants Token benefits to all your characters in the server for 7 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028689	Grants Token benefits to all your characters in the server for 5 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028690	Grants Token benefits to all your characters in the server for 1 day. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028691	Grants Token benefits to all your characters in the server for 3 hours. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028692	Grants Token benefits to all your characters in the server for 6 hours. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028693	Grants Token benefits to all your characters in the server for 12 hours. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028694	Grants Token benefits to all your characters in the server for 3 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028695	Grants Token benefits to all your characters in the server for 30 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028696	Grants Token benefits to all your characters in the server for 15 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028697	Grants Token benefits to all your characters in the server for 3 hours. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028698	Grants Token benefits to all your characters in the server for 5 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028699	Grants Token benefits to all your characters in the server for 3 days. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028700	Grants Token benefits to all your characters in the server for 1 hour. See remaining time under Character Info.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 10 items on the Market{nl} - Able to register items in Market outside min./max. price limits{nl} - Able to retrieve Market silver instantaneously{nl} - +3 increased character movement speed{nl} - +20% EXP from hunting monsters{nl}(Stacks with the EXP Tome effects){nl} - Able to use Team Storage {nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl}- Additional +1 reward from Saalus Missions	
ETC_20170912_028701	An Instanced Dungeon Multiply Token received as an Adventure Journal reward. Use it to consume your remaining daily entries at once and multiply currency and EXP gains.	
ETC_20170912_028702	1,000 Attribute Points (AJ)	
ETC_20170912_028703	100 Attribute Points (AJ)	
ETC_20170912_028704	Gives 100 Attribute Points. Right-click to use.	
ETC_20170912_028705	500 Attribute Points (AJ)	
ETC_20170912_028706	Tuxedo Cat Costume Set Box (Male)	
ETC_20170912_028707	Right-click to use and obtain the items.{nl}- Tuxedo Cat Head (Male){nl}- Tuxedo Cat Costume	
ETC_20170912_028708	Tuxedo Cat Costume Set Box (Female)	
ETC_20170912_028709	Right-click to use and obtain the items.{nl}- Tuxedo Cat Head (Female){nl}- Tuxedo Cat Costume	
ETC_20170912_028710	Fried Chicken Poodle Costume Set Box (Male)	
ETC_20170912_028711	Right-click to use and obtain the items.{nl}- Fried Chicken Poodle Head (Male){nl}- Fried Chicken Poodle Costume	
ETC_20170912_028712	Fried Chicken Poodle Costume Set Box (Female)	
ETC_20170912_028713	Right-click to use and obtain the items.{nl}- Fried Chicken Poodle Head (Female){nl}- Fried Chicken Poodle Costume	
ETC_20170912_028714	Popolion Costume Set Box (Male)	
ETC_20170912_028715	Right-click to use and obtain the items.{nl}- Popolion Head (Male){nl}- Popolion Costume	
ETC_20170912_028716	Popolion Costume Set Box (Female)	
ETC_20170912_028717	Right-click to use and obtain the items.{nl}- Popolion Head (Female){nl}- Popolion Costume	
ETC_20170912_028718	Penguin Costume Set Box (Male)	
ETC_20170912_028719	Right-click to use and obtain the items.{nl}- Penguin Head (Male){nl}- Penguin Costume	
ETC_20170912_028720	Penguin Costume Set Box (Female)	
ETC_20170912_028721	Right-click to use and obtain the items.{nl}- Penguin Head (Female){nl}- Penguin Costume	
ETC_20170912_028722	Kepa Costume Set Box (Male)	
ETC_20170912_028723	Right-click to use and obtain the items.{nl}- Kepa Head (Male){nl}- Kepa Costume	
ETC_20170912_028724	Kepa Costume Set Box (Female)	
ETC_20170912_028725	Right-click to use and obtain the items.{nl}- Kepa Head (Female){nl}- Kepa Costume	
ETC_20170912_028726	Hanaming Costume Set Box (Male)	
ETC_20170912_028727	Right-click to use and obtain the items.{nl}- Hanaming Head (Male){nl}- Hanaming Costume	
ETC_20170912_028728	Hanaming Costume Set Box (Female)	
ETC_20170912_028729	Right-click to use and obtain the items.{nl}- Hanaming Head (Female){nl}- Hanaming Costume	
ETC_20170912_028730	1,000 Attribute Points (TBL)	
ETC_20170912_028731	500 Attribute Points (TBL)	
ETC_20170912_028732	100 Attribute Points (TBL)	
ETC_20170912_028733	Enchant Scroll Box (x10)	
ETC_20170912_028734	Right-click to obtain the following items:{nl} - Enchant Scroll x10	
ETC_20170912_028735	Leticia's Secret Cube	
ETC_20170912_028736	Gele Plateau Barrier (HP UI)	
ETC_20170912_028737	Territory Tower	
ETC_20170912_028738	Purchase Guild and Templar Items	
ETC_20170912_028739	Receive Basic Bait	
ETC_20170912_028740	Exchange Voucher for Companion	
ETC_20170912_028741	Gytis Settlement Area Time Check	
ETC_20170912_028742	Starving Demon's Way Time Check	
ETC_20170912_028743	Fedimian Suburbs Time Check	
ETC_20170912_028744	Check Field Gimmick	
ETC_20170912_028745	Min. level for guild operations	
ETC_20170912_028746	Min. guild level for neutrality	
ETC_20170912_028747	Uphill Defense Ranking Reset Day	
ETC_20170912_028748	Uphill Defense Ranking Reset Time	
ETC_20170912_028749	Territory Wars Rewards (Day): 1(SUN)-7(SAT)	
ETC_20170912_028750	Territory Wars Rewards (Time): 0-23(h)	
ETC_20170912_028751	Territory Wars Max. Silver Reward (unit: hundred million)	
ETC_20170912_028752	Max. no. of bosses summoned w/ monster card book	
ETC_20170912_028753	1 = skip checkout page when purchasing through Nexon launcher payment system	
ETC_20170912_028754	Replay file max. size	
ETC_20170912_028755	Unit: time (ex.: 7 days * 24 = 168)	
ETC_20170912_028756	1:Silver 2:TP	
ETC_20170912_028757	Consumed COST (ex.: Silver 1000000)	
ETC_20170912_028758	1: open Territory Wars, 2: do not open	
ETC_20170912_028759	Two-handed Blunt Weapon	
ETC_20170912_028760	Recipe - Vienarazis Two-handed Mace	
ETC_20170912_028761	Recipe - Skull Breaker	
ETC_20170912_028762	Artisan Recipe - Skull Breaker 	
ETC_20170912_028763	Recipe - Cardboard Cube (Two-handed Blunt Weapon)	
ETC_20170912_028764	The higher your team level, the more additional EXP your characters can earn. You can raise your team up to Lv 75. 	
ETC_20170912_028765	Delete all inventory items	
ETC_20170912_028766	N/A	
ETC_20170912_028767	N/A	
ETC_20170912_028768	N/A	
ETC_20170912_028769	N/A	
ETC_20170912_028770	N/A	
ETC_20170912_028771	/whale	
ETC_20170912_028772	Opening this cube consumes {CONSUME}.{nl}Are you sure you want to open it?	
ETC_20170912_028773	Cannot be used near Goddess Statues.	
ETC_20170912_028774	Cannot be used near boss monsters.	
ETC_20170912_028775	Can only be used in fields.	
ETC_20170912_028776	You can summon a maximum of 5 boss monsters in a region.	
ETC_20170912_028777	Using this item will summon a level 330 boss monster.{nl}Are you sure you want to use it?	
ETC_20170912_028778	Characters which are the sole Templar in a guild as well as that guild's master cannot use Rank Reset Voucher items.	
ETC_20170912_028779	Cannot use during a friendly duel.	
ETC_20170912_028780	You have reached the maximum amount{nl}of characters in this Lodge.{nl}Do you want to purchase a character slot?	
ETC_20170912_028781	Characters which are the sole Templar in a guild as well as that guild's master cannot be deleted.	
ETC_20170912_028782	This item has expired or cannot be registered.	
ETC_20170912_028783	You have reached the maximum amount of characters in this Lodge.{nl}Please try again after deleting an existing character.	
ETC_20170912_028784	You can no longer equip cards of the same group.	
ETC_20170912_028785	The enhancement, transcendence, gems, potential and awakening of the original item will be transferred to the new item.{nl} {nl}Are you sure you want to exchange?	
ETC_20170912_028786	You cannot equip a card of a different group.	
ETC_20170912_028787	A card is already equipped in this slot.	
ETC_20170912_028788	Unauthorized program detected.{nl}Access denied.	
ETC_20170912_028789	[Premium] Male Helmet	
ETC_20170912_028790	[Premium] Female Helmet	
ETC_20170912_028791	Maximum of {Eng} characters allowed.	
ETC_20170912_028792	Stage {STEP} complete.{nl} Acquired {POINT} Uphill Points!	
ETC_20170912_028793	Saalus Mission Entry Voucher applied.	
ETC_20170912_028794	Saalus Convent Missions Completed: 0{nl}Cannot use an entry voucher.	
ETC_20170912_028795	[Coupon: {VALUE}]	
ETC_20170912_028796	Use Coupon	
ETC_20170912_028797	Total Count {COUNT} Reward: 	
ETC_20170912_028798	Buff (+50% EXP for 30 min)	
ETC_20170912_028799	Weekend participation count +1	
ETC_20170912_028800	Participate to increase your count.	
ETC_20170912_028801	Weekend participation count +1 applied.	
ETC_20170912_028802	This can only be used on the weekends.	
ETC_20170912_028803	Kupole's Gift{nl}{TEXT}	
ETC_20170912_028804	Total Mission Count: {COUNT}	
ETC_20170912_028805	Receive Total Count Reward	
ETC_20170912_028806	Rewards Received: {COUNT}	
ETC_20170912_028807	Wow, you ranked no. {RANK} in the Adventure Journal! Congratulations!{nl}The reward is on its way.	
ETC_20170912_028808	Wow, you ranked no. {RANK} in the Adventure Journal! Congratulations!{nl}The reward is on its way.	
ETC_20170912_028809	Team Storage expanded by 1 slot.	
ETC_20170912_028810	Team Storage expanded by 2 slots.	
ETC_20170912_028811	Collecting lost goods...	
ETC_20170912_028812	Cannot collect any more goods!{nl}Bring the collected goods to the merchant and try again.	
ETC_20170912_028813	Picking dead crops...	
ETC_20170912_028814	Cannot pick any more crops!{nl}Burn the collected crops and try again.	
ETC_20170912_028815	Crops have been burned!{nl}Collect more dead crops and burn them.	
ETC_20170912_028816	You aren't carrying any crops!{nl}Pick some from the field and try again.	
ETC_20170912_028817	You're out of holy water!{nl}Return to the Priest and refill the bottle.	
ETC_20170912_028818	You aren't carrying any holy water!	
ETC_20170912_028819	Go to the Priest and receive some holy water.	
ETC_20170912_028820	Previous gimmick item has been deleted due to new participation in the gimmick.	
ETC_20170912_028821	The Priest purifying the pilgrim stone statues in Starving Demon's Way needs help!{nl}Receive some holy water from the Priest and help purify the stone statues!	
