QUEST_20150317_000001	Pilih Quest yang akan dimodifikasi.	퀘스트 수정이 필요한 유저를 선택해주세요.
QUEST_20180320_007710	Highest floor of the deep chamber where Great King Zachariel rests.{nl}On the small stairs leading to the king's tomb, a shining cube blocks your path.	
QUEST_20180320_007711	This settlement area is being turned into a field by order of the knight commander.{nl}Next to the path that leads to the herb farm is a cliff. High up there is a notice board that you can't see.	
QUEST_20180320_007712	This private land has been invaded by a strange energy that needs to be purified.{nl}In the field set out for cultivation, look for the pile of boats by the water.	
QUEST_20180320_007713	A group of tenants, angry at the tyranny of the land's baron, is gathered at this farm.{nl}Among the large weather vanes, one stands on the path to the brewery and workshop.	
QUEST_20180320_007714	Thanks to you, the Lieutenant is back and our new recruit is safe.{nl}I'm sorry we put you in such a tough spot, but you were a great help.{nl}	
QUEST_20180320_007715	Words aren't enough to express how much we appreciate it.{nl}It might not be much, but I'd like you to take this gift. We're really thankful.{nl}	
QUEST_20180320_007716	So, to find out what this box does you need to put all the items in it.{nl}Unfortunately we didn't have enough people to gather everything.{nl}	
QUEST_20180320_007717	I'm afraid you'll have to look for some items yourself to fill up the box. Just look around, see what you can find.{nl}I hope it can be useful to you.	
QUEST_20180320_007718	Thank you for helping Vaivora, and us Kupoles.{nl}We're humbled to witness a human like yourself display such a deep sense of sacrifice and courage.{nl}	
QUEST_20180320_007719	We may have failed to protect the Revelation, but we are grateful, and we would like{nl}to offer you a small gift in the name of Goddess Vaivora and all Her Kupoles.{nl}	
QUEST_20180320_007720	The true value of this box reveals itself only when the box is full.{nl}Although, as we are busy restoring the library, you may have to search for the objects to fill it on your own.	
QUEST_20180320_007721	{nl}You may look for them near Valandis or Saugas, or obtain them by hunting demons nearby.{nl}I hope our gift will be useful to you, kind human.	
QUEST_20180320_007722	Our reward items can be placed in your Team Storage or Personal Storage, but they cannot be traded.{nl}Would you like to receive the items now?	
QUEST_20180320_007723	If you bring me 8 Ripped Book Pages, I can exchange them for one of my books.{nl}Come see me again if you have any questions or when you're ready to trade.	
QUEST_20180320_007724	I see you have 8 Ripped Book Pages. Would you give them to me?{nl}I'm not just going to keep them, of course. I'll give you one of my books in return. 	
QUEST_20180320_007725	Besides my work with important publications and Sage literature,{nl}I've also been gathering loose book pages and restoring them.{nl}	
QUEST_20180320_007726	Unfortunately, the restoration process alone is extremely time-consuming. I have nearly no time left for anything.{nl}So I though up a way to gather the book pages I need without having to go out.{nl}	
QUEST_20180320_007727	I am giving one of my books to everyone who can bring me a set of Ripped Book Pages.{nl}That way, those who are interested in books can get something they like, and I can collect more materials for my work.{nl}	
QUEST_20180320_007728	If you're interested, feel free to bring me some book pages when you can.{nl}I have a few good books you might want to exchange for them.	
QUEST_20180320_007729	Very well. Here's your book, for bringing me these beautiful pages.{nl}Come see me again if you collect another set of 8 pages, I have plenty more books to exchange.	
QUEST_20180320_007730	Wait, hold on. There's something I want to give you. For all the times you helped me collect loose pages.{nl}Here, have this.	
QUEST_20180320_007731	It's only a small gift, from one bibliophile to another.{nl}Come and exchange books whenever you can, I'll throw in a bookmark or two once in a while.{nl}	
QUEST_20180320_007732	The box is for you to store the bookmarks.{nl}You see, something good will happen if you place all the bookmarks I give you in that box. Alright then, I'm looking forward to your next visit.	
QUEST_20180320_007733	I'm glad to have you back. I've managed to speed the process so much thanks to you.{nl}By the way, have another one of those bookmarks I gave you last time. Alright, see you next time.	
QUEST_20180320_007734	I'm sorry, but that's not enough to exchange for a book.{nl}Just a few more pages should be enough.	
QUEST_20180320_007735	You found it? Are you serious? I thought I was the only one who knew about that place.{nl}And what's with that smirk? Did you find anything else?	
QUEST_20180320_007736	Oh... You found that. Yeah, sometimes you'll find stuff like that when you're out and about.{nl}So, you know. You might find even more of those if you keep coming back for my riddles.{nl}	
QUEST_20180320_007737	They're so pretty, it would be a shame to throw them away, right? That's why I got you this box.{nl}Just put all the things you find in here and, you know, something interesting might happen.	
QUEST_20180320_007738	Oh, that box is where we keep all the beautiful treasures my little Dexter brings home.{nl}He must have liked you. I think he wants to give you a gift, the little fuzzball. Take it, then!{nl}	
QUEST_20180320_007739	Come and play with little Dexter again, won't you? Maybe you'll get another gift from him next time.{nl}I quite like having people around so don't be shy, heh heh heh.	
QUEST_20180320_007740	Look at little Dexter. He wants to play with you, heh heh heh.{nl}	
QUEST_20180320_007741	If you want Dexter to notice you, you need to get close to his friends at the village.{nl}Then, go back to Dexter and see if you got the right answer!	
QUEST_20180320_007742	Think carefully: how many times did little Dexter meow?{nl}That's as much as I can say. If I tell you any more, he's going to get grumpy.	
QUEST_20180320_007743	Dexter hit a small box with his paw.	
QUEST_20180320_007744	This seems right.	
QUEST_20180320_007745	I think this is wrong...	
QUEST_20180320_007746	Let's try again from the beginning.	
QUEST_20180320_007747	Dexter looks calm and content. He doesn't look like he wants to play.	
QUEST_20180320_007748	Dexter looks like he wants to play.	
QUEST_20180320_007749	This one looks tired already. Let's try another one.	
QUEST_20180320_007750	Dexter stopped meowing.	
QUEST_20180320_007751	What's over here...?	
QUEST_20180320_007752	You have no collection rewards to receive.	
QUEST_20180320_007753	Choose the collection reward to receive.	
QUEST_20180320_007754	You already have received the reward for this collection.	
QUEST_20180320_007755	Could this be the place Anastazija talked about?	
QUEST_20180320_007756	Thanks to you, the Lieutenant is back and our new recruit is safe.{nl}	
QUEST_20180320_007757	I'm sorry we put you in such a tough spot, but you were a great help.{nl}Words aren't enough to express how much we appreciate it.{nl}	
QUEST_20180320_007758	We had a little gift prepared for you, but it looks like you already one of those, heheh.{nl}Guess you don't need another one, then.{nl}	
QUEST_20180320_007759	I'd say keep looking around the Lanko Waters Area if you're still missing anything, you're bound to find it somewhere.{nl}I really hope those things will be useful to you.	
QUEST_20180320_007760	Thank you for helping Vaivora, and us Kupoles.{nl}	
QUEST_20180320_007761	We may have failed to protect the Revelation, but we're humbled to witness a human like yourself display such a deep sense of sacrifice and courage.{nl}	
QUEST_20180320_007762	We had prepared a small gift for you, but it seems you already possess it.{nl}I don't suppose you will want another.	
QUEST_20180320_007763	If you are still searching for the objects, look around the Fantasy Library{nl}or defeat some demons nearby, you're sure to find something.	
QUEST_20180320_007764	I pray that you'll find a good use for your box when it is complete.{nl}I thank you once again for the help you gave us, human.	
QUEST_20180320_007765	We were humbled to witness a human like yourself display such a deep sense of sacrifice and courage.{nl}Thank you for your help, human. Goodbye.	
QUEST_20180320_007766	That's the beauty of exploration, finding stuff like that.{nl}I'm not just trying to win this game, you know. I really want you to have fun traveling the world with my enigmas.{nl}	
QUEST_20180320_007767	This game isn't over, buddy.{nl}Come back tomorrow and get served!	
QUEST_20180320_007768	Suspicious Corpse	
QUEST_20180320_007769	The corpse looks like it hasn't been dead for long.	
QUEST_20180320_007770	It's strange that there's a corpse out here.{nl}Investigate?	
QUEST_20180320_007771	The chest wounds look recent.{nl}It's best to investigate this person's identity.	
QUEST_20180320_007772	{nl}Take a closer look?	
QUEST_20180320_007773	You can place Magic Stones on the device.{nl}How many would you like to place?	
QUEST_20180320_007774	Resistance Adjutant Bern	
QUEST_20180320_007775	Did you see it too, Revelator?	
QUEST_20180320_007776	A small girl made the magic circles shine with light!{nl}I'm not sure who she is, but...{nl}	
QUEST_20180320_007777	If she can activate magic circles, she must be someone important.{nl}Did you perhaps notice any movement around the magic circles?	
QUEST_20180320_007778	Resistance Deputy Commander Kron	
QUEST_20180320_007779	I heard the water facility is functional again thanks to your work.{nl}We are very grateful.	
QUEST_20180320_007780	{nl}I only have to worry about Ignas now.	
QUEST_20180320_007781	You brought the purified water. Thank you.{nl}The giant monster was a Hydra.	
QUEST_20180320_007782	{nl}We did manage to surround it...{nl}But it was too violent, we couldn't defeat it.	
QUEST_20180320_007783	{nl}What's strange about it was that... even though it isn't a demon, it was giving off a very toxic energy.{nl}The kind that demons have.	
QUEST_20180320_007784	{nl}I've been fighting the demons for years now, I know what they're like.{nl}Now that you're here, we need to move fast and defeat that Hydra!	
QUEST_20180320_007785	Water Facility Management	
QUEST_20180320_007786	Documents containing guidelines for the administration of the water facility.	
QUEST_20180320_007787	1. The facility is activated by placing two Magic Stones in the Water Controller.{nl}2. The Magic Stones require periodic replacements.{nl}	
QUEST_20180320_007788	In the event of a problem,{nl}the water facility must be reactivated. However, keep in mind that there are different ways to reactivate each area.{nl}	
QUEST_20180320_007789	Reactivating Barynwell 85 Waters{nl}By order of the Controllers that are nearest to the water point, place 3, 2, and 1 Magic Stones in each device.{nl}	
QUEST_20180320_007790	Reactivating Barynwell 86 Waters{nl}In a clockwise direction, place 1, 2 and 3 Magic Stones in each Water Controller.	
QUEST_20180320_007791	The demons are approaching!{nl}Now, of all times...{nl}	
QUEST_20180320_007792	Revelator, I understand this is a troublesome request... but would you take over the Hydra for a moment?{nl}	
QUEST_20180320_007793	I'll handle the demons first and join you as soon as I can.{nl}You have my word!{nl}	
QUEST_20180320_007794	Oh...! When you do face the Hydra, be sure to use the Purified Water!{nl}	
QUEST_20180320_007795	Remember, the Hydra is carrying evil energy...{nl}There's a chance it might react with the Purified Water!	
QUEST_20180320_007796	Resistance Adjutant Taylor	
QUEST_20180320_007797	Revelator, we need your help!{nl}We're under attack by the demons!	
QUEST_20180320_007798	{nl}All our soldiers are at the defense line...{nl}Our forces aren't enough to contain the attack!	
QUEST_20180320_007799	{nl}We can't let them destroy our supplies...{nl}Please, Revelator. Help us.	
QUEST_20180320_007800	{nl}We're counting on you!	
QUEST_20180320_007801	Elder Henika	
QUEST_20180320_007802	I heard that a Revelator was helping the resistance...{nl}And it was true.	
QUEST_20180320_007803	{nl}This battle is between the Schaffenstar and the rebels.{nl}I hope you rethink your decision to help the resistance, or I will be forced to act.	
QUEST_20180320_007804	Old Tombstone	
QUEST_20180320_007805	This tombstone was erected by order of Lydia Schaffen upon the construction of the Astral Tower.{nl}The following are Schaffen's own words.	
QUEST_20180320_007806	{nl}Should the Astral Tower ever find itself under threat, read the words engraved on this stone.{nl}May those who decipher their meaning rescue the Tower from danger.	
QUEST_20180320_007807	Resistance Adjutant Lehon	
QUEST_20180320_007808	A new magic circle appeared at the altar!{nl}Who would have known it was holding such a secret...	
QUEST_20180320_007809	{nl}It seems the machines on top of the altar reacted with your fragments.	
QUEST_20180320_007810	{nl}Would you have another look at the machines?{nl}I don't think I should do it myself.{nl}I'll stay behind if you need me.	
QUEST_20180320_007811	There's a new magic circle!{nl}I knew that girl was up to something.	
QUEST_20180320_007812	{nl}But I can't be sure of what to do with the circle...{nl}The girl said something about being at the same location and having the same color...	
QUEST_20180320_007813	{nl}Ah...!	
QUEST_20180320_007814	{nl}I wonder if we're supposed to make magic circles in the same spots become the same colors.{nl}The girl did say to use the disk; maybe we should try that.	
QUEST_20180320_007815	{nl}How about you check on the magic circles?	
QUEST_20180320_007816	You'll notice they're placed in the same spots from the altar.{nl}Not only that, those magic circles are also the same color, like the one that appeared at Senoves Altar.	
QUEST_20180320_007817	You should try and match the color of the circles on each side.{nl}Circles on the same side should all have different colors.{nl}	
QUEST_20180320_007818	This is all I can think of right now.	
QUEST_20180320_007819	Goddess Laima Apparition	
QUEST_20180320_007820	Savior. If you are seeing this message, the Astral Tower is in grave danger.	
QUEST_20180320_007821	{nl}Ignas is the one responsible for it.{nl}He is using Demon Lord Solcomm, colluding with his subordinate Pbeta to overthrow the Astral Tower.	
QUEST_20180320_007822	{nl}If you are to find another Revelation in the Tower, first you must help those who are just stand against Ignas.{nl}Only then will Revelation come to you.	
QUEST_20180320_007823	{nl}Lydia Schaffen heard my prophecy. She gathered the right provisions to one day rid the Astral Tower of its threat.{nl}She kept in this very place an object that can reveal demons who disguise as humans.	
QUEST_20180320_007824	{nl}They have already infiltrated the Astral Tower forces now siding with Ignas.{nl}You must use Schaffen's object to detect the demons among them.	
QUEST_20180320_007825	{nl}May your efforts rescue the Astral Tower and free it from danger...	
QUEST_20180320_007826	Resistance Commander Byle	
QUEST_20180320_007827	So the demons were behind this entire ordeal...{nl}To even think they were disguised...	
QUEST_20180320_007828	{nl}The demons must be stopped.{nl}I'll leave that up to you, Revelator.	
QUEST_20180320_007829	{nl}We'll handle the enemy troops.	
QUEST_20180320_007830	You can place stoned imbued with the energy of the lake on this Water Controller.{nl}How many stones would you like to place?	
QUEST_20180320_007831	There's a controller on the altar.{nl}Operate it?	
QUEST_20180320_007832	Ranger Morvio	
QUEST_20180320_007833	There is no time to waste.{nl}We should get moving.	
QUEST_20180320_007834	The arrows are ready.{nl}Let's go.	
QUEST_20180320_007835	Did you see the girl?{nl}It must be the girl Byle was talking about.	
QUEST_20180320_007836	They said she comes to help in important moments...{nl}I think she's trying to help us too!{nl}	
QUEST_20180320_007837	That means you need to shoot at Pbeta's chest!	
QUEST_20180320_007838	Morvio, you know I don't have enough arrows.{nl}And we don't even know who this girl is, how are we going to believe her?	
QUEST_20180320_007839	I think the Revelator should decide.{nl}	
QUEST_20180320_007840	You were blessed with the grace of the goddesses...{nl}They will lead you in the right direction.	
QUEST_20180320_007841	The arrow went straight through his chest!{nl}He's definitely hurt now!{nl}	
QUEST_20180320_007842	Things could get a little out of hand if Pbeta's subordinates show up...{nl}Morvio and I will keep an eye on the road.	
QUEST_20180320_007843	We're counting on you!	
QUEST_20180320_007844	Demon King Kartas	
QUEST_20180320_007845	Pbeta.{nl}Look at you, trying to run away... pitiful.{nl}	
QUEST_20180320_007846	I know you have part of Ziburynas' Essence.{nl}I wondered what you could have got from betraying Solcomm...{nl}	
QUEST_20180320_007847	Don't you think that power is too much for you?{nl}	
QUEST_20180320_007848	Hand over the power to me, Pbeta.{nl}It isn't something you can handle.	
QUEST_20180320_007849	You already knew... Alright.{nl}	
QUEST_20180320_007850	I'll hand over the power.{nl}But before that...	
QUEST_20180320_007851	Are you trying to make a deal?{nl}Surely you know you're not capable of that?{nl}	
QUEST_20180320_007852	Remember, I can destroy you at anytime, Pbeta.	
QUEST_20180320_007853	If you're not willing to listen...{nl}The power of Ziburynas will not be yours forever.{nl}	
QUEST_20180320_007854	Please, Kartas. My request is simple.{nl}Give me the power to end the Revelator and those who are after me.	
QUEST_20180320_007855	If I can defeat them all...{nl}The power of Ziburynas will be yours, as promised.	
QUEST_20180320_007856	Very well...{nl}I'll grant your wish.	
QUEST_20180320_007857	But Pbeta...{nl}Don't even think about playing me.{nl}	
QUEST_20180320_007858	Don't assume you can trick me like you did with Solcomm.{nl}	
QUEST_20180320_007859	Remember. Once you defeat the Revelator and their group...{nl}You come back to me and hand over Ziburynas' power.{nl}	
QUEST_20180320_007860	If so, I will cover for what you have done so far.	
QUEST_20180320_007861	You ruined all my plans!{nl}You'll regret this...{nl}	
QUEST_20180320_007862	I'll make you suffer!	
QUEST_20180320_007863	You defeated Pbeta!{nl}Incredible!	
QUEST_20180320_007864	Morvio told me what happened.{nl}	
QUEST_20180320_007865	I noticed the evil energy was gone...{nl}Ziburynas' power must have vanished when Pbeta died.{nl}	
QUEST_20180320_007866	I believe Elder Ramunas said Pbeta was only carrying part of Ziburynas' essence.{nl}That it was weaker than Ziburynas' energy.{nl}	
QUEST_20180320_007867	Even so... I'm glad at least part of it is gone now.{nl}	
QUEST_20180320_007868	Now all we have to do is take back the Astral Tower.{nl}	
QUEST_20180320_007869	I believe you said you also have your own mission to tend to at the Tower...{nl}In that case, we'll head out to the Tower first and investigate.	
QUEST_20180320_007870	Resistance Soldier Mait	
QUEST_20180320_007871	Hey, I've never seen you before...{nl}Identify yourself.	
QUEST_20180320_007872	A Revelator... I'm sorry if I was rude.{nl}Here in front is the temporary residence where the resistance soldiers live.{nl}	
QUEST_20180320_007873	No unidentified persons are allowed beyond this point.{nl}And I'm afraid I haven't confirmed your identity yet.{nl}	
QUEST_20180320_007874	Follow me. I need to report to my superiors first.	
QUEST_20180320_007875	You can talk to Adjutant Bern.{nl}They'll be waiting for you.	
QUEST_20180320_007876	Please to meet you. My name's Adjutant Bern.{nl}May I ask why you're here?	
QUEST_20180320_007877	Going to the Astral Tower, you say?{nl}Hmm... I'm afraid it's not as easy as that.{nl}	
QUEST_20180320_007878	As you can see, the areas surrounding the Tower are infested with demons and monsters.{nl}It's been like this ever since Ignas took command of the Astral Tower...{nl}	
QUEST_20180320_007879	The demons are all over, but Ignas just seems to be ignoring the problem.{nl}Absolutely nothing is being done about it. It's an outrage!{nl}	
QUEST_20180320_007880	In the end, we couldn't support Ignas' lack of action anymore so we formed our own resistance force outside the Tower.{nl}And now, most members who abandon the Tower suspect Ignas may have assassinated the former head of the organization.{nl}	
QUEST_20180320_007881	I know we've only just met, and I'm so sorry to ask you this...{nl}But would you help us get back the Astral Tower?{nl}	
QUEST_20180320_007882	If you do, we can help you get you to the inside of the Tower with no problems.	
QUEST_20180320_007883	There are many soldiers out there in need of help.{nl}Please tend to them as much as you can.	
QUEST_20180320_007884	We're slightly short-handed, so we're always busy, you see.	
QUEST_20180320_007885	I see you handled all the urgent issues.{nl}Thank you.{nl}	
QUEST_20180320_007886	Oh, and our Deputy Commander is looking for you.	
QUEST_20180320_007887	Welcome. My name is Kron.{nl}I heard about how you've been helping our soldiers.{nl}	
QUEST_20180320_007888	I would like to ask you for a special favor.{nl}	
QUEST_20180320_007889	This lake has a network of Water Facilities installed across different points in the area.{nl}Originally, these facilities kept the demons away by imbuing the lake with properties similar to those of holy water.{nl}	
QUEST_20180320_007890	Then, the facilities were destroyed by the demons...{nl}And now they have completely invaded the lake.{nl}	
QUEST_20180320_007891	Fortunately we were able to protect one Water Facility in this district...{nl}But the water point isn't functioning the way it should.{nl}	
QUEST_20180320_007892	The person responsible for gathering the resistance forces was Elder Ramunas.{nl}He was an advisor at the Astral Tower.{nl}	
QUEST_20180320_007893	I believe he remembers looking at some documents related to the Water Facilities.{nl}	
QUEST_20180320_007894	After talking to him, I gave orders to one of my subordinates to infiltrate the Astral Tower.{nl}The plan was to recover those Water Facility documents...{nl}	
QUEST_20180320_007895	They should have reported back by now, but there are no signs of them.{nl}Would you find out what happened to them?	
QUEST_20180320_007896	We need the documents if we're ever going to turn this situation around.{nl}I suggest you start with 86 Waters.	
QUEST_20180320_007897	I can only hope they got the documents out...	
QUEST_20180320_007898	Yes! These are the Water Facility Management documents!{nl}But where is my subordinate?	
QUEST_20180320_007899	I see...{nl}It wasn't my intention to cause the death of one of our own...{nl}	
QUEST_20180320_007900	However... on the memo it says the demons are running wild inside the Astral Tower.{nl}It seems Ignas was siding with them all along.{nl}	
QUEST_20180320_007901	There's no doubt now that Ignas is colluding with the demons.{nl}Destroying the lake's Water Facilities was probably his idea.{nl}	
QUEST_20180320_007902	After having a look at the documents, it looks like they contain all the instructions on how to reactivate the water points.{nl}	
QUEST_20180320_007903	Only... the pages on how to create the protection circles have been ripped off.{nl}	
QUEST_20180320_007904	We need Magic Stones to reactivate the water points.{nl}	
QUEST_20180320_007905	There used to be a Magic Stone storage opposite the Water Facility...{nl}But that too was destroyed by the demons.{nl}	
QUEST_20180320_007906	Would you go there and check whether there are any Magic Stones left?	
QUEST_20180320_007907	The old storage was located opposite the Water Facility.{nl}Hopefully there will still be some Magic Stones left there.	
QUEST_20180320_007908	Did you find any Magic Stones?	
QUEST_20180320_007909	This should be enough.	
QUEST_20180320_007910	To restart the water points, we need to place the right amount of Stones in each controller, and in the correct order.{nl}	
QUEST_20180320_007911	The documents say we need to place 3, 2 and 1 Magic Stones in each controller, in the order of closest to furthest from the water point.{nl}	
QUEST_20180320_007912	I think the demons might notice if I start moving around...{nl}Would you try and reactivate the water points yourself?{nl}	
QUEST_20180320_007913	We'll be counting on you.	
QUEST_20180320_007914	You need to place the Magic Stones on the controllers in the correct order.{nl}Make sure to check the number of required Magic Stones as well.	
QUEST_20180320_007915	I followed you here just to make sure...{nl}That was close!	
QUEST_20180320_007916	If you can get the water points working again, the demons won't be able to come near the lake anymore.{nl}You should go on and reactivate the facilities!	
QUEST_20180320_007917	Like the Deputy Commander said...{nl}You need to add the Magic Stones in the correct order and number on the controllers for it to work.{nl}	
QUEST_20180320_007918	If I remember correctly, the order was from closest to furthest from the water point.{nl}Each controller needs 3, 2, and 1 Magic Stones to reactivate.	
QUEST_20180320_007919	Think carefully about the right order and number of Magic Stones!	
QUEST_20180320_007920	Did you use all the Magic Stones?	
QUEST_20180320_007921	Go and check whether the water points are reacting!	
QUEST_20180320_007922	The protective magic circles are working!{nl}I'll go and report back to Deputy Commander Kron right away!	
QUEST_20180320_007923	Do you have something to say?	
QUEST_20180320_007924	A large monster seems to have appeared nearby.	
QUEST_20180320_007925	I have something to ask you.{nl}If you can, would you gather some purified water near the water point?{nl}	
QUEST_20180320_007926	I can't tell whether it's a regular monster or a demon...{nl}But if it is a demon, the purified water will help defeat it.	
QUEST_20180320_007927	You can place the water inside this bottle.	
QUEST_20180320_007928	If the monster really is a demon, it will react to the purified water from the water point.	
QUEST_20180320_007929	You got the purified water.	
QUEST_20180320_007930	The Deputy Commander is heading to the location of the monster.{nl}He must have been worried for the soldiers stationed there.{nl}	
QUEST_20180320_007931	We should head out as well.	
QUEST_20180320_007932	The monster is at the top of the Barynwell Watchtower.{nl}We should hurry.	
QUEST_20180320_007933	Aren't you coming?{nl}We need to hurry!	
QUEST_20180320_007934	Did you defeat the Hydra?	
QUEST_20180320_007935	So the purified water was effective.{nl}Even so... what you did was remarkable. Not many people can defeat a Hydra all by themselves.{nl}	
QUEST_20180320_007936	The water that flows from the water points only reacts to demons.{nl}	
QUEST_20180320_007937	That means they must have done something to that Hydra.{nl}For now, let's return to the residence.	
QUEST_20180320_007938	It's faster to go through 86 Waters.{nl}That's where our soldiers are facing Ignas' forces.{nl}	
QUEST_20180320_007939	I already told the soldiers there about you, so you should be able to go through with no problems.{nl}	
QUEST_20180320_007940	Oh, and if you do go through 86 Waters, Elder Ramunas will be at the assembly area.{nl}Please deliver these documents to him.{nl}	
QUEST_20180320_007941	They need the documents to reactivate their own Water Facility.{nl}	
QUEST_20180320_007942	Alright, take care.{nl}Thank you for all your help.	
QUEST_20180320_007943	The moss growing around the lake makes it difficult for us soldiers to move around.{nl}The ground is too slippery, some of us even got hurt because of it.{nl}	
QUEST_20180320_007944	But the moss is too much for me to remove it all by myself...{nl}Would you give me a hand?	
QUEST_20180320_007945	Unfortunately there's no way to do it other than getting it out by hand.{nl}My job used to be clearing out the weeds, so I'm used to it.{nl}	
QUEST_20180320_007946	We always have to be careful around the lake because the moss is so slippery.	
QUEST_20180320_007947	You got most of it. Nice.{nl}I'll finish the rest. Thank you.	
QUEST_20180320_007948	Resistance Soldier Molan	
QUEST_20180320_007949	Did you see all the demons walking around?{nl}The soldiers are having a hard time because of them.{nl}	
QUEST_20180320_007950	We're a little short-handed so I wouldn't dare to take care of them on my own.{nl}I know it's a difficult request, but would you give me a hand?	
QUEST_20180320_007951	I wish I could go, but I'm the only soldier guarding this area...{nl}Be careful, then.	
QUEST_20180320_007952	The demons took over when the water points stopped functioning...{nl}Hopefully they'll start working again soon...	
QUEST_20180320_007953	I already see a lot fewer demons around!{nl}You're amazing.	
QUEST_20180320_007954	It's been a long time since the demons invaded the lake.{nl}I'm worried that they'll contaminate the water.{nl}	
QUEST_20180320_007955	I want to make sure the water isn't contaminated, but it's hard for me to move away...{nl}Would you go out and catch some fish from the lake for me?	
QUEST_20180320_007956	Here's a net.{nl}If you can, collect a few lake fish near the Mazas Reservoir.{nl}	
QUEST_20180320_007957	Oh, but make sure you look into the sections with fewer people.{nl}The lake fish like to gather in remote areas.	
QUEST_20180320_007958	People around here drink purified water from the lake. If it gets contaminated...{nl}There's no telling what kind of side effects it could have.	
QUEST_20180320_007959	This will be enough. Thank you.	
QUEST_20180320_007960	Near the bottom of the Barynwell Watchtower grows a type of weed called Rias.{nl}It's harmless to us, but strangely it seems to keep the demons away.{nl}	
QUEST_20180320_007961	I'm not sure if it actually repels them, but just to be sure I would like to find some.{nl}Would you collect some Rias Weeds for me?	
QUEST_20180320_007962	Thank you.{nl}I need to keep an eye on our barracks, but I'll be counting on you.	
QUEST_20180320_007963	There are Rias Weeds growing at the bottom of the Barynwell Watchtower.{nl}Look closely.	
QUEST_20180320_007964	You brought a bunch!{nl}Let me see them.	
QUEST_20180320_007965	They look like just normal grass.{nl}But they grow with the water from the lake...{nl}	
QUEST_20180320_007966	Oh! I have an idea. Would you help me?	
QUEST_20180320_007967	I'm thinking of a powder made from ground Rias Weeds.{nl}We should see if it has any effect on the demons.	
QUEST_20180320_007968	If my guess is right, a Rias Weed powder could be really useful to us.	
QUEST_20180320_007969	A-ha! Now I see why the demons never went near the Rias Weeds.{nl}They grow with the water from the lake.{nl}	
QUEST_20180320_007970	Or they did, until the Water Facilities broke down...{nl}It looks like the purified water from the water point influences the Rias Weeds that grow there.{nl}	
QUEST_20180320_007971	I need to make more of that powder and share it with the other soldiers.{nl}Thanks!	
QUEST_20180320_007972	The first person to gather the resistance forces was Elder Ramunas.{nl}Some people also suspected Ignas was behind the assassination of the previous head of the Astral Tower...{nl}	
QUEST_20180320_007973	In the end, the main reason was Ignas' lack of competence as head of the Tower.{nl}The lake was being filled up with demons and he did nothing to stop them.{nl}	
QUEST_20180320_007974	Until this day, Ignas isn't doing anything about the demons.{nl}We're the ones fighting against them all over the region...{nl}	
QUEST_20180320_007975	But we don't have enough means to face both Ignas' forces and the demons.	
QUEST_20180320_007976	There are several Water Facilities installed all around the Starlit Lake.{nl}They were made to prevent demons from invading the region.{nl}	
QUEST_20180320_007977	The water points are used to infuse the lake with something similar to holy water.{nl}The Water Facilities are operated by magic, so they are all managed separately from inside the Astral Tower.{nl}	
QUEST_20180320_007978	Then, little by little, after Medzio Diena the demons started to invade the lake.{nl}Ignas didn't make much of it. He said nothing was going to happen.{nl}	
QUEST_20180320_007979	I, too, trusted Ignas and thought the lake would be okay, but...{nl}In the end, the demons got ahold of the Water Facilities and destroyed them.{nl}	
QUEST_20180320_007980	Those of us who felt like the problem was serious told Ignas that we should fight the demons and take back the Facilities...{nl}But he continued to act like everything was fine.{nl}	
QUEST_20180320_007981	Outraged with Ignas' attitude, a group of members abandoned the Tower altogether, led by our Elder Ramunas.{nl}	
QUEST_20180320_007982	We hurried to check on the Water Facilities as soon as we were out...{nl}But most of them had already been destroyed.{nl}	
QUEST_20180320_007983	Luckily there was one Facility still remaining, and that was 86 Waters...{nl}Although we're still struggling to drive away the demons, since we can't restart the water point.	
QUEST_20180320_007984	Resistance Soldier Rett	
QUEST_20180320_007985	Who are you?{nl}This area is extremely dangerous. Go back now.	
QUEST_20180320_007986	Oh! You're the Revelator.{nl}I heard about the work you did in 85 Waters.{nl}	
QUEST_20180320_007987	Elder Ramunas is looking for you. He is in the assembly area.	
QUEST_20180320_007988	Elder Ramunas	
QUEST_20180320_007989	So you're the Revelator Kron told me about?{nl}	
QUEST_20180320_007990	And these are the Water Facility Management documents.{nl}Very well. We should get our own Water Facility working soon with these.{nl}	
QUEST_20180320_007991	Oh. My name is Ramunas, by the way.{nl}I heard all about what you did back in 85 Waters.{nl}	
QUEST_20180320_007992	Getting the Water Facility working, defeating the Hydra...{nl}It can't have been easy. You're quite impressive.{nl}	
QUEST_20180320_007993	But, um... I'm afraid the commander in chief isn't here right now.{nl}They left only a minute ago, so it's going to be a while until they're back...{nl}	
QUEST_20180320_007994	While we wait, would you do me a favor?{nl}	
QUEST_20180320_007995	Our resistance forces are being outnumbered.{nl}And Ignas' side is filled with talented fighters, so there's little we can do to stop them.{nl}	
QUEST_20180320_007996	I was hoping you could help Taylor over there launch an attack on their rearguard.{nl}I know it's a lot to ask... but we really need your help.	
QUEST_20180320_007997	Elder Ramunas is at the assembly area.	
QUEST_20180320_007998	Nice to meet you. My name's Taylor.	
QUEST_20180320_007999	Elder Ramunas said that?{nl}Hmm... alright.{nl}	
